PS D:\python\NES emulator> python -m cProfile -s tottime NESemupy.py
pygame-ce 2.5.6 (SDL 2.32.10, Python 3.11.9)
enter path to the .nes file: SMB.py
error: file not found
enter path to the .nes file: SMB.nes
successfully loaded the ROM file
PRG banks: 2 (32KB)
CHR banks: 1
reset vector: $8000
have fun playing an NES game on python!
executed 29829 CPU instructions in 1.3060 seconds.
executed 29829 CPU instructions in 1.3437 seconds.
executed 29829 CPU instructions in 0.9173 seconds.
executed 29829 CPU instructions in 0.8122 seconds.
executed 29829 CPU instructions in 1.0228 seconds.
executed 29829 CPU instructions in 1.0053 seconds.
executed 29829 CPU instructions in 1.0235 seconds.
executed 29829 CPU instructions in 1.0537 seconds.
executed 29829 CPU instructions in 0.9144 seconds.
executed 29829 CPU instructions in 0.9242 seconds.
executed 29829 CPU instructions in 0.9034 seconds.
executed 29829 CPU instructions in 1.2570 seconds.
executed 29829 CPU instructions in 1.2611 seconds.
executed 29829 CPU instructions in 1.2564 seconds.
executed 29829 CPU instructions in 1.2522 seconds.
executed 29829 CPU instructions in 1.2405 seconds.
executed 29829 CPU instructions in 1.2497 seconds.
executed 29829 CPU instructions in 1.2495 seconds.
executed 29829 CPU instructions in 1.2681 seconds.
executed 29829 CPU instructions in 1.2655 seconds.

press enter to exit
         55598248 function calls (55595210 primitive calls) in 36.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   177/33    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
     1004    0.001    0.000    0.006    0.000 NESemupy.py:990(ADC_ZP)
      791    0.001    0.000    0.005    0.000 NESemupy.py:980(RTS)
      340    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
    208/4    0.001    0.000    0.279    0.070 <frozen importlib._bootstrap>:666(_load_unlocked)
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
     2471    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      201    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
      431    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1699    0.001    0.000    0.002    0.000 typing.py:1266(_is_dunder)
  635/632    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFF77190FD0}
     1056    0.001    0.000    0.002    0.000 NESemupy.py:484(ORA)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
     1056    0.001    0.000    0.005    0.000 NESemupy.py:724(ORA_ZP)
       28    0.001    0.000    0.002    0.000 inspect.py:863(cleandoc)
     5045    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1008    0.001    0.000    0.005    0.000 NESemupy.py:1164(LDY_ZP)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      179    0.001    0.000    0.006    0.000 typing.py:1376(__init__)
      183    0.001    0.000    0.002    0.000 typing.py:251(_collect_parameters)
        1    0.001    0.001   35.103   35.103 NESemupy.py:2281(init)
      148    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      626    0.001    0.000    0.002    0.000 NESemupy.py:916(EOR_IMM)
      196    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      795    0.001    0.000    0.004    0.000 NESemupy.py:1080(STX_ZP)
      817    0.001    0.000    0.003    0.000 NESemupy.py:456(stack_pull_16)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
     2081    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1807    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      480    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   259/28    0.001    0.000    0.178    0.006 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      747    0.001    0.000    0.002    0.000 NESemupy.py:911(PHA)
       14    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
      363    0.001    0.000    0.001    0.000 NESemupy.py:615(SBC)
    148/5    0.001    0.000    0.279    0.056 <frozen importlib._bootstrap_external>:934(exec_module)
       78    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
      297    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      148    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      763    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       17    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
      180    0.001    0.000    0.001    0.000 NESemupy.py:382(addr_ind)
  210/198    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      584    0.001    0.000    0.001    0.000 NESemupy.py:1131(TYA)
     1212    0.001    0.000    0.001    0.000 _parser.py:168(__getitem__)
      213    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
   376/11    0.001    0.000    0.179    0.016 {built-in method builtins.__import__}
        8    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1868    0.001    0.000    0.001    0.000 typing.py:1721(<genexpr>)
    528/9    0.001    0.000    0.275    0.031 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      216    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      196    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
      800    0.000    0.000    0.001    0.000 NESemupy.py:558(STX)
     1903    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      504    0.000    0.000    0.004    0.000 NESemupy.py:818(ROL_ZP)
      479    0.000    0.000    0.002    0.000 NESemupy.py:1150(LDY_IMM)
      716    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
   220/76    0.000    0.000    0.001    0.000 _parser.py:178(getwidth)
     1348    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      903    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      194    0.000    0.000    0.001    0.000 NESemupy.py:607(DEC)
      144    0.000    0.000    0.001    0.000 typing.py:1731(__hash__)
      308    0.000    0.000    0.001    0.000 {built-in method builtins.max}
    87/33    0.000    0.000    0.006    0.000 _parser.py:456(_parse_sub)
      891    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      409    0.000    0.000    0.002    0.000 NESemupy.py:1072(STY_ZP)
      448    0.000    0.000    0.001    0.000 NESemupy.py:1159(LDX_IMM)
      425    0.000    0.000    0.002    0.000 NESemupy.py:1005(ADC_IMM)
      435    0.000    0.000    0.003    0.000 NESemupy.py:1193(LDY_ABS)
      189    0.000    0.000    0.001    0.000 NESemupy.py:633(ROR)
      156    0.000    0.000    0.011    0.000 __init__.py:272(_compile)
      195    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      835    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1030(__exit__)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      688    0.000    0.000    0.001    0.000 _parser.py:261(get)
  227/162    0.000    0.000    0.013    0.000 typing.py:373(inner)
      472    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
      835    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1026(__enter__)
     1745    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      249    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       66    0.000    0.000    0.006    0.000 typing.py:679(Union)
      391    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
      327    0.000    0.000    0.003    0.000 NESemupy.py:1417(SBC_ABS_Y)
      216    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
     1745    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      312    0.000    0.000    0.003    0.000 NESemupy.py:1330(CMP_ABS_Y)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1390    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      215    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      344    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:392(cached)
      225    0.000    0.000    0.001    0.000 NESemupy.py:738(ORA_IMM)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      213    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      314    0.000    0.000    0.002    0.000 NESemupy.py:1201(LDX_ABS)
      312    0.000    0.000    0.001    0.000 NESemupy.py:810(BIT_ZP)
      491    0.000    0.000    0.001    0.000 NESemupy.py:563(STY)
     1408    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       39    0.000    0.000    0.002    0.000 typing.py:729(Literal)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
      498    0.000    0.000    0.000    0.000 NESemupy.py:780(CLC)
      828    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       66    0.000    0.000    0.001    0.000 typing.py:334(_remove_dups_flatten)
      296    0.000    0.000    0.000    0.000 NESemupy.py:1187(TAX)
      282    0.000    0.000    0.001    0.000 typing.py:1310(__getattr__)
      189    0.000    0.000    0.002    0.000 NESemupy.py:1063(ROR_ABS_X)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      314    0.000    0.000    0.000    0.000 NESemupy.py:506(BIT)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
